22,18.26858378,11.95036602,18.24425295,3.539201975,14.20302377,11.80569887,20.57783413,15.90611696,17.02151389,14.76876497,20.39109632,14.59574008,0,0.12582016,17.50049636,11.16163278,19.7602198,22.41467094,21.70463403,15.81240988
23,20.27492369,4.762530088,infeasible,infeasible,infeasible,infeasible,22.93311226,8.326224089,infeasible,infeasible,0,0.116673946,19.1891724,2.142402887,infeasible,infeasible,20.15746693,5.802282095,infeasible,infeasible
24,15.75376971,21.8909018,19.00162409,3.84702611,11.00640504,21.12978315,10.95707182,4.828114986,0,0.138253927,15.03832904,16.23380589,16.48974075,17.78088808,5.564154932,2.220277071,13.19750624,3.736822844,6.972144583,4.275133133
26,20.22444304,17.83007813,22.94993862,3.241935968,22.18019462,8.324886084,15.73295386,6.40703702,22.43449746,5.39844203,18.09531056,15.24608493,23.83042064,5.898384094,0,0.13293004,19.79520309,3.962661028,18.54260312,9.879621029
27,19.49567779,10.04967785,infeasible,infeasible,19.30516983,14.9219768,21.23500832,3.336601973,0,0.128155947,17.90292113,17.51939106,13.75736713,3.382811069,19.49570012,14.65047812,15.69264995,9.543654919,18.97167087,19.03361297
29,infeasible,infeasible,0,0.207535982,18.85441916,6.691172123,17.72035427,12.74642181,infeasible,infeasible,19.22142428,16.85031009,19.9299553,6.890173912,24.45839378,5.019737959,17.67395089,13.13585019,infeasible,infeasible
30,infeasible,infeasible,infeasible,infeasible,infeasible,infeasible,0,0.145399094,infeasible,infeasible,22.68091839,2.370704889,infeasible,infeasible,infeasible,infeasible,infeasible,infeasible,24.02497504,2.554758072
31,infeasible,infeasible,0,0.181195021,12.91438178,12.29607606,12.34733316,8.173863173,19.99303402,10.5306139,16.46219142,10.77643895,18.73890631,14.23177004,13.58944898,2.857645035,14.84441826,16.13755298,17.38296704,18.98269987
33,2.097575453,0.284221888,infeasible,infeasible,23.59104037,10.22291112,infeasible,infeasible,20.08262066,2.999808073,22.37239974,2.512226105,0,0.11922884,infeasible,infeasible,infeasible,infeasible,infeasible,infeasible
34,infeasible,infeasible,infeasible,infeasible,21.27489462,1.737004042,infeasible,infeasible,infeasible,infeasible,infeasible,infeasible,infeasible,infeasible,0,0.145609856,infeasible,infeasible,infeasible,infeasible
35,23.65307001,2.614866018,17.05776562,1.528504133,0,0.112872839,14.11599725,0.900605917,infeasible,infeasible,18.11113189,1.279160023,21.41461002,2.130900145,24.72004147,2.214915991,18.69163999,1.511555195,infeasible,infeasible
36,24.90496407,11.29680204,infeasible,infeasible,14.78881186,4.488731861,12.52606049,3.010469198,infeasible,infeasible,infeasible,infeasible,infeasible,infeasible,0,0.129055023,19.8163164,4.139454126,22.94304856,3.437207222
37,infeasible,infeasible,0,0.137012005,19.87215822,3.652071953,21.06155192,14.49251699,infeasible,infeasible,infeasible,infeasible,infeasible,infeasible,20.99508314,17.71964884,18.58435752,15.06425786,infeasible,infeasible
38,18.04165268,9.634678841,11.37985322,4.014860868,0.610008011,0.331574917,0,0.130905151,22.44451278,2.841933012,14.88670324,2.466917038,17.40522251,2.103281021,23.12999337,8.841845036,11.17966897,1.333899021,22.7426112,10.45443916
39,infeasible,infeasible,0,0.178233147,18.11367885,7.799641132,18.36227952,15.77137399,infeasible,infeasible,infeasible,infeasible,infeasible,infeasible,20.54834597,14.60137701,17.06716183,13.27187896,infeasible,infeasible
